,artist,title,rating,url,chords,top_1,top_2,top_3
0,Adele,ROLLING IN THE DEEP,852.0,https://tabs.ultimate-guitar.com/a/adele/rolling_in_the_deep_ver4_crd.htm,Am Em G Em G Am Em G Em G Am Em G Em G Am Em G Em G F G Em F F G Em E7 Am G F G Am G F G Am Em G Em G Am Em G Em G F G Em F F G Em E7 Am G F G Am G F G Am G F G Am G F G Am Em G Em G Am Em G Em G Am G F G Am G Am G F G Am G F G Am G F G Am G F G Am,Em E7,E7 Am,F G
1,LMFAO Featuring Lauren Bennett & GoonRock,PARTY ROCK ANTHEM,28.0,https://tabs.ultimate-guitar.com/l/lmfao/party_rock_anthem_acoustic_crd.htm,Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D Cadd9 Em7 D C Em7 D C Em7 D C Em7 D C,D C,D Cadd9,Cadd9 Em7
2,Katy Perry,FIREWORK,640.0,https://tabs.ultimate-guitar.com/k/katy_perry/firework_crd.htm,G F Em Cadd9 G F Em Cadd9 G F Em Cadd9 G F Em Cadd9 G F Em Cadd9 G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G F Em Cadd9 G F Em Cadd9 G Am Em Cadd9 G Am Em Cadd9 G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C Em Cadd9 G D G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C,Em C,G F,Cadd9 G
3,Katy Perry Featuring Kanye West,E.T.,128.0,https://tabs.ultimate-guitar.com/k/katy_perry/et_ver8_crd.htm,Em C G D Em C G D C Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D C Em C G D Em C G D Em C G D Em C G D Em C G D C C Em D C C Em D Em C G D Em C G D Em C G D Em C G D Em C D G Em C D G Em C G D Em C G D Em,G D,C G,Em C
4,"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",GIVE ME EVERYTHING,19.0,https://tabs.ultimate-guitar.com/p/pitbull/give_me_everything_ver2_crd.htm,D A Bm G D A Bm G D,A Bm,Bm G,G D
5,Bruno Mars,GRENADE,1018.0,https://tabs.ultimate-guitar.com/b/bruno_mars/grenade_crd_993953id_08102010date.htm,Dm Dm Am Am Dm Dm Am A7 Dm Am Dm Bb A Dm Bb F C Dm Bb F C Dm Bb F C Dm Bb F C C Bb C F A Dm C C Bb A A Dm Dm Am Am Dm Am Dm Am A7 Dm Am Dm Bb A Dm Bb F C Dm Bb F C Dm Bb F C Dm Bb F C C Bb C F A Dm C C Bb A A Gm Dm Gm A Dm Dm Bb A Dm Bb F C Dm Bb F C Dm Bb F C Dm Bb F C C Bb C F A Dm C C Bb A A Dm Dm Am Am Dm Dm Am Am,Am A7,A Gm,Gm A
6,Cee Lo Green,F**K YOU (FORGET YOU),186.0,https://tabs.ultimate-guitar.com/c/cee_lo_green/forget_you_crd.htm,C D7 F C C D7 F C C D7 F C C D7 F C D7 F C C D7 F C C D7 F C C D7 F C D7 F C C D7 F C C D7 F C C D7 F C D7 F C D7 F C C D7 F C C D7 F C D7 F C C D7 F C C D7 F C C D7 F Em Am Dm G,Dm G,Em Am,Am Dm
7,Nicki Minaj,SUPER BASS,80.0,https://tabs.ultimate-guitar.com/n/nicki_minaj/super_bass_crd.htm,G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D G Cadd9 Em D,G Cadd9,Em D,Cadd9 Em
8,Maroon 5 Featuring Christina Aguilera,MOVES LIKE JAGGER,152.0,https://tabs.ultimate-guitar.com/m/maroon_5/moves_like_jagger_crd.htm,Em G D Em G D C Em G D Em G D C Em G D C Em G D C Em G D C Em G D C Em G D Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C,Em G,G D,D C
9,The Black Eyed Peas,JUST CAN'T GET ENOUGH,41.0,https://tabs.ultimate-guitar.com/t/the_black_eyed_peas/just_cant_get_enough_crd.htm,Am G C F Am G F Am G C F Am G F F Am G C F Am G F F F Am G C F Am G F F Am G C F Am G F F Am G C F Am G F F Am G C F Am G F F Am G C F Am G F F,G C,Am G,C F
10,Jennifer Lopez Featuring Pitbull,ON THE FLOOR,9.0,https://tabs.ultimate-guitar.com/j/jennifer_lopez/on_the_floor_ver2_crd.htm,Dm Bb F C Dm Bb F C Dm Bb F C Dm Bb F C Dm Bbm F C Dm Dm Bb F C Dm Bb F C Dm Dm Bb F C Dm Bb F C Dm Dm Bb F C Dm Bb F C D Dm Bb F C Dm Bb F C,C D,Bbm F,Bb F
11,Rihanna,S&M,1726.0,https://tabs.ultimate-guitar.com/r/rihanna/stay_crd.htm,C Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G F Dm Am F Dm G C Dm Am F C Dm Am F C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G F Dm Am Am7/G Am Am7/G F Dm G C Dm Am F C Dm Am F C Dm Am Am7/G Am Am7/G Am Am7/G F Am Dm Em F Am Dm Dm F Am Dm F G C Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F,G C,Em F,Dm Em
12,Foster The People,PUMPED UP KICKS,2466.0,https://tabs.ultimate-guitar.com/f/foster_the_people/pumped_up_kicks_ver2_crd.htm,Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb,Fm Ab,Ab Eb,Eb Bb
13,Katy Perry,LAST FRIDAY NIGHT (T.G.I.F.),32.0,https://tabs.ultimate-guitar.com/k/katy_perry/last_friday_night_ver2_crd.htm,G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C D*** G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em,C D***,D*** G,D Em
14,Bruno Mars,JUST THE WAY YOU ARE,1474.0,https://tabs.ultimate-guitar.com/b/bruno_mars/just_the_way_you_are_crd_970416id_23072010date.htm,D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D D Bm G D,Bm G,G D,D Bm
15,P!nk,RAISE YOUR GLASS,37.0,https://tabs.ultimate-guitar.com/p/pnk/raise_your_glass_ver3_crd.htm,G D C C Em D G D C C Em D G D C C Em D,C Em,G D,Em D
16,Lady Gaga,BORN THIS WAY,253.0,https://tabs.ultimate-guitar.com/l/lady_gaga/born_this_way_ver5_crd.htm,E D A E E D A E E D A E E D A E E D A E E D A E E D A E E D A E E D A E A E D A E E D A E E D A E E D A E E D A E E D A E E D A E E E E E D A E E D A E E D A E E D A E E D A E E D A E E D A E E Em E Em E Em E Em,D A,E D,A E
17,P!nk,F**KIN' PERFECT,413.0,https://tabs.ultimate-guitar.com/p/pnk/fuckin_perfect_crd.htm,G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 Cadd9 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G Dsus Em7 Cadd9 G,Dsus Em7,G Dsus,Em7 Cadd9
18,Rihanna Featuring Drake,WHAT'S MY NAME?,30.0,https://tabs.ultimate-guitar.com/r/rihanna/whats_my_name_crd.htm,Em7 Cadd9 G D/F# Em A C Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# C G Em D/F# C G D/F# A Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F# Em7 Cadd9 G D/F#,D/F# Em,Em A,A C
19,Chris Brown Featuring Lil Wayne & Busta Rhymes,LOOK AT ME NOW,16.0,https://tabs.ultimate-guitar.com/c/chris_brown/look_at_me_now_crd.htm,C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F,Em Am,Am F,C Em
20,Jeremih Featuring 50 Cent,DOWN ON ME,3.0,https://tabs.ultimate-guitar.com/j/jeremiah/down_on_me_crd.htm,Am Dm Am Dm Am Dm Am,,,
21,Lil Wayne,HOW TO LOVE,274.0,https://tabs.ultimate-guitar.com/l/lil_wayne/how_to_love_crd.htm,G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C,D Em,G D,Em C
22,Adele,SOMEONE LIKE YOU,1832.0,https://tabs.ultimate-guitar.com/a/adele/someone_like_you_ver2_crd.htm,A A/G# Gbm D A A/G# F#m D A A/G# F#m D A A/G# F#m D E9 F#m D E9 F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A A/G# F#m D A A/G# F#m D E F#m D D E F#m D E9/D D A E F#m D A E F#m D A E F#m D A E F#m D E/B F#m/C# D Bm A/C# D E/D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D,Bm A/C#,E/B F#m/C#,A/G# Gbm
